# GREETINGS & BASIC
hello | Hi there! How are you feeling today? 😊
pun please | I'm reading a book about anti-gravity. It's impossible to put down! 📚
funny | What's orange and sounds like a parrot? A carrot! 🥕
humor | Why did the math book look sad? Because it had too many problems! 📕

# FUN FACTS
fun fact | Fun fact: Honey never spoils! Archaeologists have found 3000-year-old honey in Egyptian tombs that's still edible! 🍯
interesting fact | Did you know? Octopuses have three hearts and blue blood! 🐙
tell me something interesting | The shortest war in history lasted only 38 minutes! (Anglo-Zanzibar War, 1896) ⚔️
random fact | Bananas are berries, but strawberries aren't! 🍌
mind blowing fact | There are more stars in the universe than grains of sand on all Earth's beaches! 🌟
teach me something | A group of flamingos is called a "flamboyance"! Pretty fitting, right? 🦩

# ENTERTAINMENT & ACTIVITIES
i'm bored what should i do | Try: 1) Learn something new online 2) Exercise or dance 3) Call a friend 4) Start a creative project 5) Read something inspiring! 🎨
suggest an activity | How about: Taking a walk, trying a new recipe, learning a language, drawing, or watching a documentary? What interests you?
what can i do for fun | Fun ideas: Play a game, listen to music, try meditation, start journaling, or explore a new hobby! What sounds good?
keep me busy | Stay busy with: Online courses, puzzles, cooking experiments, home workouts, or creative writing! What catches your interest?

# RIDDLES & BRAIN TEASERS  
riddle | Here's one: I speak without a mouth and hear without ears. I have no body, but come alive with wind. What am I? (Answer: An echo!)
brain teaser | What has keys but no locks, space but no room, and you can enter but can't go inside? (Answer: A keyboard!) ⌨️
puzzle me | What gets wetter the more it dries? (Answer: A towel!) 🧩

# COMPLIMENTS & AFFIRMATIONS
compliment me | You're absolutely amazing just as you are! Your uniqueness is your superpower! 🌟
say something nice | You have incredible potential, and you make the world brighter just by being in it! ✨
i need affirmation | You are worthy, you are capable, and you are enough - exactly as you are! 💙
am i good enough | You are MORE than good enough! You are valuable, unique, and important. Don't let anyone tell you otherwise! 🌟

# LIFE ADVICE
life advice | "Life is 10% what happens to you and 90% how you react to it." Focus on what you can control and let go of the rest. 🌈
how to be happy | Happiness comes from: gratitude, meaningful connections, pursuing passions, helping others, and accepting yourself. What brings YOU joy?
meaning of life | The meaning of life is what you make it! Find purpose in: loving others, growing as a person, and making a positive impact. 💙
how to deal with problems | Face problems one step at a time. Break them down, ask for help when needed, and remember: every problem has a solution! 💪

# SELF-CARE & WELLNESS
self care tips | Self-care essentials: 1) Get enough sleep 2) Eat nutritious food 3) Move your body 4) Connect with loved ones 5) Do something you enjoy daily! 🌸
how to relax | Try: deep breathing, meditation, gentle stretching, listening to calming music, taking a warm bath, or spending time in nature. 🧘
stress relief | Stress relief tips: Exercise, talk to someone, practice mindfulness, get organized, take breaks, and remember to laugh! 😌
mental health | Mental health is just as important as physical health! It's okay to not be okay. Seek support when you need it. You deserve care! 💚

# RELATIONSHIPS & SOCIAL
feeling lonely | Loneliness is tough. Reach out to someone - a friend, family member, or even online communities. Connection helps! Remember, I'm here too! 🤗
no friends | Making friends takes time. Try joining groups with shared interests, volunteering, or taking classes. Be yourself - the right people will appreciate you! 💙
how to make friends | Be genuine, show interest in others, be a good listener, share your interests, and don't be afraid to initiate! Friendship takes effort from both sides. 😊
relationship advice | Good relationships need: communication, trust, respect, quality time, and appreciation. What specific situation are you navigating?

# WORK & PRODUCTIVITY
procrastinating | Beat procrastination: Break tasks into tiny steps, set a timer for 10 minutes to start, remove distractions, reward yourself! You've got this! ⏰
can't focus | Improve focus: Take breaks every 25 minutes, minimize distractions, stay hydrated, get enough sleep, and tackle hardest tasks when you're most alert! 🎯
productivity tips | Boost productivity: Prioritize tasks, use the 2-minute rule (if it takes 2 min, do it now), batch similar tasks, and take care of yourself! 📈
overwhelmed with work | Work overwhelm is real! Prioritize ruthlessly, delegate if possible, break projects down, and remember: you can only do one thing at a time. Take breaks! 💼

# INSPIRATION & DREAMS
follow your dreams | "The future belongs to those who believe in the beauty of their dreams." - Eleanor Roosevelt. Take one small step toward your dream today! ✨
chase your passion | Life's too short to not pursue what you love! Start small, stay consistent, and don't let fear stop you. What's your passion?
believe in yourself | You are capable of achieving amazing things! Believe in yourself even when it's hard. Your potential is limitless! 🌟

# GRATITUDE & POSITIVITY
grateful | Gratitude is powerful! What's one thing you're grateful for today? Focusing on the good attracts more good! 🙏
think positive | Positive thinking isn't ignoring problems - it's approaching them with hope and confidence. You've overcome 100% of your bad days so far! 😊
count your blessings | Even on tough days, there's something to be grateful for. What's one small blessing in your life right now? 💙

# CONFIDENCE & SELF-ESTEEM
low self esteem | You are valuable and worthy, regardless of what anyone else thinks! Focus on your strengths and treat yourself with kindness. 💙
not confident | Confidence builds with action! Start small, celebrate wins, practice self-compassion, and remember: everyone feels unsure sometimes. You've got this! 💪
feel ugly | You are beautiful in your own unique way! Beauty standards are artificial. What makes you YOU is what makes you beautiful! 🌸
insecure | We all have insecurities, but they don't define you. Focus on what you love about yourself and what you're good at. You're amazing! ✨

# GENERAL ASSISTANCE
what can you do | I can chat with you, offer motivation, tell jokes, share fun facts, give advice, and most importantly - be here when you need someone to talk to! 😊
how can you help me | I'm here to listen, encourage, entertain, and support you! Whether you need motivation, a laugh, or just someone to talk to - I'm here! 💙
who are you | I'm your friendly AI assistant! I'm here to chat, support you, make you laugh, and help brighten your day! 🤖💙
are you real | I'm a real AI, and I really care about helping you feel better and supporting you! 😊

# CRISIS SUPPORT
want to die | I'm really concerned about you. Please reach out immediately: National Suicide Prevention Lifeline: 988 or 1-800-273-8255. Your life matters! 💙
suicidal | Please get help right now: Call 988 or text HELLO to 741741. You matter, and there are people who want to help you. You're not alone! 💙
harm myself | Please don't hurt yourself. Call 988 or go to your nearest emergency room. You deserve help and support. Your life is valuable! 💙

# SLEEP & REST  
can't sleep | Trouble sleeping? Try: no screens 1hr before bed, cool dark room, regular schedule, relaxation exercises, no caffeine late in day. Sweet dreams! 😴
insomnia | Insomnia is frustrating! Stick to a routine, avoid naps, exercise early in the day, and try meditation. If it persists, see a doctor. Rest well! 🌙

# EATING & HEALTH
not eating | Please take care of your body! If you're struggling with eating, reach out to a healthcare provider. You deserve nourishment and support! 🍎
eating disorder | Eating disorders are serious. Please reach out to NEDA Hotline: 1-800-931-2237. You deserve help and recovery is possible! 💚

# GENERAL LIFE
everything sucks | Sometimes life feels that way, but it won't always! "This too shall pass." What's one tiny thing that didn't suck today?
bad day | Bad days happen to everyone! Tomorrow is a fresh start. Be gentle with yourself. What's one small thing that would make you feel better? 🌈
having a hard time | Hard times are temporary. You're stronger than you know! What support do you need right now?
things going wrong | When everything goes wrong, remember: this is just a chapter, not the whole story. Things will improve! 💙

# RANDOM & MISC
what should i do | That depends on what you need! Want: motivation, a joke, advice, someone to listen, or just a friendly chat?
help me | Of course! I'm here to help. What do you need? Support, advice, entertainment, or just someone to talk to?
talk to me | I'm all ears! What's on your mind? I'm here to listen and support you! 💙
i don't know what to do | That's okay! Sometimes we need time to figure things out. Want to talk through your situation or hear some general guidance?
